GUI,GPN,Resource Name,Status,Seniority Date,Location,Level,Counsellor Name
123214.0,123213.0,Dinesh,ACTIVE,2026-04-09,Pune,Senior 2,Dev
123214.0,123213.0,Gaurav,ACTIVE,2024-04-09,Gurugram,Senior 1,Dev
123214.0,123213.0,Umang,ACTIVE,2024-04-09,Hyderabad,Manager,Dev
123214.0,123213.0,Lalitha,ACTIVE,2025-04-09,Kolkata,Senior 1,Dev
123214.0,123213.0,Achin,ACTIVE,2026-04-09,Trivandrum,Manager,Dev
123214.0,123213.0,Achin,ACTIVE,2025-04-09,Trivandrum,Manager,Dev
123214.0,123213.0,Saloni Kaushik,ACTIVE,2026-04-09,Coimbature,Staff 1,Dev
123123.0,123213.0,Siva,ACTIVE,2022-04-03,Bengaluru,Manager,Dev
12312.0,12313.0,Alfred,ACTIVE,2023-04-22,Bengaluru,Senior 3,Dinesh
1233411.0,122221.0,Vaibhav,ACTIVE,2021-04-02,Noida,Senior 3,Venkat
1233333.0,1221111.0,Satish,QUIT,2021-04-02,Chennai,Staff 3,Venkat
123214.0,123213.0,Venkat,ACTIVE,2012-04-09,Chennai,Manager,Dev
123214.0,123213.0,Lalitha,ACTIVE,2026-04-09,Kochi,Staff 2,Dev
123214.0,123213.0,Abhjith,ACTIVE,2026-04-09,Gurugram,Staff 1,Dev
123214.0,123213.0,Dinesh,ACTIVE,2026-04-09,Pune,Senior 2,Dev
123214.0,123213.0,Gaurav,ACTIVE,2024-04-09,Gurugram,Senior 1,Dev
123214.0,123213.0,Umang,ACTIVE,2024-04-09,Hyderabad,Manager,Dev
123214.0,123213.0,Lalitha,ACTIVE,2025-04-09,Kolkata,Senior 1,Dev
123214.0,123213.0,Achin,ACTIVE,2026-04-09,Trivandrum,Manager,Dev
123214.0,123213.0,Achin,ACTIVE,2025-04-09,Trivandrum,Manager,Dev
123214.0,123213.0,Saloni Kaushik21,ACTIVE,2026-04-09,Coimbature,Staff 1,Dev
123123.0,123213.0,Siva11,ACTIVE,2022-04-03,Bengaluru,Manager,Dev
12312.0,12313.0,Alfred11,ACTIVE,2023-04-22,Bengaluru,Senior 3,Dinesh
1233411.0,122221.0,Vaibhav11,ACTIVE,2021-04-02,Noida,Senior 3,Venkat
1233333.0,1221111.0,Satish21,QUIT,2021-04-02,Chennai,Staff 3,Venkat
123214.0,123213.0,Venkat2,ACTIVE,2012-04-09,Chennai,Manager,Dev
123214.0,123213.0,Lalitha1,ACTIVE,2026-04-09,Kochi,Staff 2,Dev
123214.0,123213.0,Abhjith2,ACTIVE,2026-04-09,Gurugram,Staff 1,Dev
123214.0,123213.0,Dinesh1,ACTIVE,2026-04-09,Pune,Senior 2,Dev
123214.0,123213.0,Gaurav2,ACTIVE,2024-04-09,Gurugram,Senior 1,Dev
123214.0,123213.0,Umang1,ACTIVE,2024-04-09,Hyderabad,Manager,Dev
123214.0,123213.0,Lalitha1,ACTIVE,2025-04-09,Kolkata,Senior 1,Dev
123214.0,123213.0,Srijesh,ACTIVE,2026-04-09,Trivandrum,Manager,Dev
123214.0,123213.0,Abijit sen,ACTIVE,2025-04-09,Trivandrum,Manager,Dev
123214.0,123213.0,Sourabh Kaushik,ACTIVE,2026-04-09,Coimbature,Staff 1,Dev
123123.0,123213.0,Leksmi,ACTIVE,2022-04-03,Bengaluru,Manager,Dev
12312.0,12313.0,Linu,ACTIVE,2023-04-22,Bengaluru,Senior 3,Dinesh
1233411.0,122221.0,Chandrajeet,ACTIVE,2021-04-02,Noida,Senior 3,Venkat
1233333.0,1221111.0,Illayraja,QUIT,2021-04-02,Chennai,Staff 3,Venkat
123214.0,123213.0,Debmalya,ACTIVE,2012-04-09,Chennai,Manager,Dev
123214.0,123213.0,Bilal,ACTIVE,2026-04-09,Kochi,Staff 2,Dev
123214.0,123213.0,Aman,ACTIVE,2026-04-09,Gurugram,Staff 1,Dev
123214.0,123213.0,Raj,ACTIVE,2026-04-09,Pune,Senior 2,Dev
